Name, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096
v0, 0.000168, 0.000261, 0.000572, 0.002764, 0.023609, 0.231009, 2.22643, 21.099, 190.034, 3294.78, 42854.5, 569456
v0_th, 0.162403, 0.145361, 0.16023, 0.139934, 0.161343, 0.217089, 0.52027, 3.6263, 34.1671, 512.359, 10534.7, 129236
v1, 0.000744, 0.000751, 0.001115, 0.004395, 0.027191, 0.239489, 2.2765, 22.3851, 191.293, 3299.69, 42634.3, 622689
v1_th, 0.181257, 0.157624, 0.169031, 0.163787, 0.154591, 0.212195, 0.534946, 3.83874, 36.5447, 484.138, 10678.1, 143246
v2, 0.001469, 0.001427, 0.001696, 0.003503, 0.017361, 0.114726, 0.917896, 6.83004, 54.2135, 427.347, 4816.62, 33025.1
v2_th, 0.168096, 0.179602, 0.122401, 0.139131, 0.149328, 0.192395, 0.393184, 2.03402, 14.0609, 107.671, 1110.13, 8296.26
v3, 0.00265, 0.002368, 0.001558, 0.002813, 0.010687, 0.052219, 0.313822, 2.36088, 19.9983, 167.37, 2136.74, 17411
v3_th, 0.196599, 0.156343, 0.171821, 0.167758, 0.161503, 0.175236, 0.263594, 0.658212, 3.85828, 44.5787, 476.782, 5166.03
v4, 0.002867, 0.002831, 0.00198, 0.004578, 0.01043, 0.042789, 0.220214, 1.22979, 8.23687, 62.7435, 596.811, 4950.47
v4_th, 0.163437, 0.164545, 0.135368, 0.161344, 0.165116, 0.195532, 0.235295, 0.526514, 2.2938, 15.8285, 137.958, 1405.19
v5, 0.002956, 0.002649, 0.001538, 0.002323, 0.007242, 0.03127, 0.16663, 1.09014, 7.75623, 55.0055, 600.618, 3982.75
v5_th, 0.151112, 0.16109, 0.154809, 0.153611, 0.159655, 0.17095, 0.256893, 0.473412, 2.15523, 14.2904, 126.85, 933.279
